Rnd,Pick,Tm,Player,Pos,Age
1,1,TAM,Jameis Winston,QB,21
1,2,TEN,Marcus Mariota,QB,21
1,3,JAX,Dante Fowler,OLB,21
1,4,OAK,Amari Cooper,WR,21
1,5,WAS,Brandon Scherff,T,23
1,6,NYJ,Leonard Williams,DE,21
1,7,CHI,Kevin White,WR,23
1,8,ATL,Vic Beasley,OLB,23
1,9,NYG,Ereck Flowers,T,21
1,10,STL,Todd Gurley,RB,21
1,11,MIN,Trae Waynes,CB,23
1,12,CLE,Danny Shelton,NT,22
1,13,NOR,Andrus Peat,T,21
1,14,MIA,DeVante Parker,WR,22
1,15,SDG,Melvin Gordon,RB,22
1,16,HOU,Kevin Johnson,CB,23
1,17,SFO,Arik Armstead,DT,21
1,18,KAN,Marcus Peters,CB,22
1,19,CLE,Cameron Erving,C,23
1,20,PHI,Nelson Agholor,WR,22
1,21,CIN,Cedric Ogbuehi,T,23
1,22,PIT,Bud Dupree,OLB,22
1,23,DEN,Shane Ray,DE,22
1,24,ARI,D.J. Humphries,T,21
1,25,CAR,Shaq Thompson,OLB,21
1,26,BAL,Breshad Perriman,WR,21
1,27,DAL,Byron Jones,CB,22
1,28,DET,Laken Tomlinson,G,23
1,29,IND,Phillip Dorsett,WR,22
1,30,GNB,Damarious Randall,S,23
1,31,NOR,Stephone Anthony,ILB,23
1,32,NWE,Malcom Brown,DT,21
2,33,NYG,Landon Collins,S,21
2,34,TAM,Donovan Smith,T,22
2,35,OAK,Mario Edwards,DT,21
2,36,JAX,T.J. Yeldon,RB,21
2,37,NYJ,Devin Smith,WR,23
2,38,WAS,Preston Smith,DE,22
2,39,CHI,Eddie Goldman,DT,21
2,40,TEN,Dorial Green-Beckham,WR,22
2,41,CAR,Devin Funchess,TE,21
2,42,ATL,Jalen Collins,CB,22
2,43,HOU,Benardrick McKinney,ILB,22
2,44,NOR,Hau'oli Kikaha,OLB,23
2,45,MIN,Eric Kendricks,ILB,23
2,46,SFO,Jaquiski Tartt,S,23
2,47,PHI,Eric Rowe,CB,22
2,48,SDG,Denzel Perryman,ILB,22
2,49,KAN,Mitch Morse,G,23
2,50,BUF,Ronald Darby,CB,21
2,51,CLE,Nate Orchard,DE,22
2,52,MIA,Jordan Phillips,NT,22
2,53,CIN,Jake Fisher,T,22
2,54,DET,Ameer Abdullah,RB,22
2,55,BAL,Maxx Williams,TE,21
2,56,PIT,Senquez Golson,CB,22
2,57,STL,Rob Havenstein,T,23
2,58,ARI,Markus Golden,DE,24
2,59,DEN,Ty Sambrailo,T,23
2,60,DAL,Randy Gregory,OLB,22
2,61,TAM,Ali Marpet,C,22
2,62,GNB,Quinten Rollins,CB,23
2,63,SEA,Frank Clark,DE,22
2,64,NWE,Jordan Richards,S,22
3,65,IND,D'Joun Smith,CB,22
3,66,TEN,Jeremiah Poutasi,G,21
3,67,JAX,A.J. Cann,G,23
3,68,OAK,Clive Walford,TE,23
3,69,SEA,Tyler Lockett,WR,22
3,70,HOU,Jaelen Strong,WR,21
3,71,CHI,Hroniss Grasu,C,24
3,72,STL,Jamon Brown,T,22
3,73,ATL,Tevin Coleman,RB,22
3,74,NYG,Owamagbe Odighizuwa,DE,23
3,75,NOR,Garrett Grayson,QB,24
3,76,KAN,Chris Conley,WR,22
3,77,CLE,Duke Johnson,RB,21
3,78,NOR,P.J. Williams,CB,22
3,79,SFO,Eli Harold,OLB,21
3,80,DET,Alex Carter,CB,20
3,81,BUF,John Miller,G,22
3,82,NYJ,Lorenzo Mauldin,OLB,22
3,83,SDG,Craig Mager,CB,23
3,84,PHI,Jordan Hicks,OLB,23
3,85,CIN,Tyler Kroft,TE,22
3,86,ARI,David Johnson,RB,23
3,87,PIT,Sammie Coates,WR,22
3,88,MIN,Danielle Hunter,DE,20
3,89,STL,Sean Mannion,QB,23
3,90,BAL,Carl Davis,DT,23
3,91,DAL,Chaz Green,T,23
3,92,DEN,Jeff Heuerman,TE,22
3,93,IND,Henry Anderson,DE,24
3,94,GNB,Ty Montgomery,WR,22
3,95,WAS,Matt Jones,RB,22
3,96,CLE,Xavier Cooper,DT,23
3,97,NWE,Geneo Grissom,DE,23
3,98,KAN,Steven Nelson,CB,22
3,99,CIN,Paul Dawson,ILB,22
4,100,TEN,Angelo Blackson,DT,22
4,101,NWE,Trey Flowers,DE,22
4,102,CAR,Daryl Williams,G,23
4,103,NYJ,Bryce Petty,QB,24
4,104,JAX,James Sample,S,23
4,105,WAS,Jamison Crowder,WR,22
4,106,CHI,Jeremy Langford,RB,23
4,107,ATL,Justin Hardy,WR,23
4,108,TEN,Jalston Fowler,FB,25
4,109,IND,Clayton Geathers,S,23
4,110,MIN,T.J. Clemmings,T,23
4,111,NWE,Tre' Jackson,G,22
4,112,WAS,Arie Kouandjio,G,23
4,113,DET,Gabe Wright,DT,23
4,114,MIA,Jamil Douglas,G,23
4,115,CLE,Ibraheim Campbell,S,23
4,116,ARI,Rodney Gunter,DT,23
4,117,SFO,Blake Bell,TE,24
4,118,KAN,Ramik Wilson,ILB,23
4,119,STL,Andrew Donnal,T,23
4,120,CIN,Josh Shaw,CB,23
4,121,PIT,Doran Grant,CB,22
4,122,BAL,Za'Darius Smith,DE,22
4,123,CLE,Vince Mayle,WR,24
4,124,TAM,Kwon Alexander,OLB,21
4,125,BAL,Javorius Allen,RB,24
4,126,SFO,Mike Davis,RB,22
4,127,DAL,Damien Wilson,ILB,22
4,128,OAK,Jon Feliciano,G,23
4,129,GNB,Jake Ryan,OLB,23
4,130,SEA,Terry Poole,G,23
4,131,NWE,Shaq Mason,C,22
4,132,SFO,DeAndre Smelter,WR,23
4,133,DEN,Max Garcia,C,23
4,134,SEA,Mark Glowinski,G,23
4,135,CIN,Marcus Hardison,DE,23
4,136,BAL,Tray Walker,CB,23
5,137,ATL,Grady Jarrett,NT,22
5,138,TEN,David Cobb,RB,22
5,139,JAX,Rashad Greene,WR,22
5,140,OAK,Ben Heeney,ILB,23
5,141,WAS,Martrell Spaight,OLB,22
5,142,CHI,Adrian Amos,S,22
5,143,MIN,MyCole Pruitt,TE,23
5,144,NYG,Mykkele Thompson,S,22
5,145,MIA,Bobby McCain,CB,22
5,146,MIN,Stefon Diggs,WR,21
5,147,GNB,Brett Hundley,QB,22
5,148,NOR,Davis Tull,OLB,23
5,149,MIA,Jay Ajayi,RB,22
5,150,MIA,Cedric Thompson,S,22
5,151,IND,David Parry,NT,23
5,152,NYJ,Jarvis Harrison,G,23
5,153,SDG,Kyle Emanuel,OLB,24
5,154,NOR,Tyeler Davison,DT,23
5,155,BUF,Karlos Williams,RB,22
5,156,MIA,Tony Lippett,WR,23
5,157,CIN,C.J. Uzomah,TE,22
5,158,ARI,Shaquille Riddick,DE,22
5,159,ARI,JJ Nelson,WR,23
5,160,PIT,Jesse James,TE,21
5,161,OAK,Neiron Ball,OLB,23
5,162,TAM,Kenny Bell,WR,23
5,163,DAL,Ryan Russell,DE,23
5,164,DEN,Lorenzo Doss,CB,21
5,165,SFO,Bradley Pinion,P,21
5,166,NWE,Joe Cardona,LS,23
5,167,NOR,Damian Swann,CB,22
5,168,DET,Michael Burton,FB,23
5,169,CAR,David Mayo,LB,22
5,170,SEA,Tye Smith,CB,22
5,171,BAL,Nick Boyle,TE,22
5,172,KAN,D.J. Alexander,OLB,23
5,173,KAN,James O'Shaughnessy,TE,23
5,174,CAR,Cameron Artis-Payne,RB,25
5,175,HOU,Keith Mumphery,WR,23
5,176,BAL,Robert Myers,G,23
6,177,TEN,Deiontrez Mount,OLB,22
6,178,NWE,Matthew Wells,LB,24
6,179,OAK,Max Valles,OLB,21
6,180,JAX,Michael Bennett,DT,22
6,181,WAS,Kyshoen Jarrett,S,22
6,182,WAS,Tevin Mitchel,CB,23
6,183,CHI,Tayo Fabuluje,T,24
6,184,TAM,Kaelin Clay,WR,23
6,185,MIN,Tyrus Thompson,T,23
6,186,NYG,Geremy Davis,WR,23
6,187,WAS,Evan Spencer,WR,22
6,188,BUF,Tony Steward,OLB,22
6,189,CLE,Charles Gaines,CB,22
6,190,SFO,Ian Silberman,G,22
6,191,PHI,JaCorey Shepherd,CB,22
6,192,SDG,Darius Philon,DT,21
6,193,MIN,B.J. Dubose,DE,23
6,194,BUF,Nick O'Leary,TE,23
6,195,CLE,Malcolm Johnson,TE,23
6,196,PHI,Randall Evans,CB,23
6,197,CIN,Derron Smith,S,23
6,198,CLE,Randall Telfer,TE,23
6,199,PIT,Leterrius Walton,DT,23
6,200,DET,Quandre Diggs,CB,22
6,201,STL,Bud Sasser,WR,
6,202,NWE,A.J. Derby,TE,23
6,203,DEN,Darius Kilgo,NT,23
6,204,BAL,Darren Waller,WR,22
6,205,IND,Josh Robinson,RB,23
6,206,GNB,Aaron Ripkowski,FB,22
6,207,IND,Amarlo Herrera,ILB,23
6,208,TEN,Andy Gallik,C,23
6,209,SEA,Obum Gwacham,DE,24
6,210,GNB,Christian Ringo,DE,23
6,211,HOU,Reshard Cliett,OLB,23
6,212,PIT,Anthony Chickillo,DE,22
6,213,GNB,Kennard Backman,TE,22
6,214,SEA,Kristjan Sokoli,DT,23
6,215,STL,Cody Wichmann,G,23
6,216,HOU,Christian Covington,DT,21
6,217,KAN,Rakeem Nunez-Roches,DT,22
7,218,OAK,Anthony Morris,OL,23
7,219,CLE,Hayes Pullard,ILB,23
7,220,JAX,Neal Sterling,WR,23
7,221,OAK,Andre Debose,WR,
7,222,WAS,Austin Reiter,C,23
7,223,NYJ,Deon Simon,NT,25
7,224,STL,Bryce Hager,ILB,23
7,225,ATL,Jake Rodgers,T,23
7,226,NYG,Bobby Hart,G,21
7,227,STL,Martin Ifedi,DE,24
7,228,MIN,Austin Shepherd,T,23
7,229,JAX,Ben Koyack,TE,22
7,230,NOR,Marcus Murphy,RB,23
7,231,TAM,Joey Iosefa,FB,24
7,232,MIN,Edmond Robinson,OLB,23
7,233,KAN,Da'Ron Brown,WR,23
7,234,BUF,Dezmin Lewis,WR,22
7,235,HOU,Kenny Hilliard,RB,23
7,236,DAL,Mark Nzeocha,OLB,25
7,237,PHI,Brian Mihalik,DE,23
7,238,CIN,Mario Alford,WR,23
7,239,PIT,Gerod Holliman,S,21
7,240,DET,Corey Robinson,T,23
7,241,CLE,Ifo Ekpre-Olomu,CB,22
7,242,OAK,Dexter McDonald,CB,23
7,243,DAL,Laurence Gibson,T,24
7,244,SFO,Trent Brown,G,22
7,245,TEN,Tre McBride,WR,22
7,246,DAL,Geoff Swaim,TE,21
7,247,NWE,Darryl Roberts,CB,24
7,248,SEA,Ryan Murphy,DB,22
7,249,ATL,Akeem King,DB,23
7,250,DEN,Trevor Siemian,QB,23
7,251,DEN,Taurean Nixon,DB,24
7,252,DEN,Josh Furman,DB,
7,253,NWE,Xzavier Dickson,OLB,22
7,254,SFO,Rory Anderson,TE,22
7,255,IND,Denzelle Good,T,24
7,256,ARI,Gerald Christian,TE,24
