Rk,Player,AV,Season,Age,Team,G,GS,AV,Pos,Player-additional
1,Xavier McKinney,15,2024,26,GNB,17,17,15,FS,McKiXa00
2,Patrick Surtain II,15,2024,24,DEN,16,16,15,LCB,SurtPa01
3,Kerby Joseph,14,2024,24,DET,17,17,14,FS,JoseKe03
4,Derek Stingley Jr.,14,2024,23,HOU,17,17,14,LCB,StinDe00
5,Marlon Humphrey,12,2024,28,BAL,16,16,12,LCB,HumpMa00
6,Derwin James,11,2024,28,LAC,16,16,11,SS,JameDe00
7,Trent McDuffie,11,2024,24,KAN,16,16,11,LCB,McDuTr00
8,Byron Murphy,11,2024,26,MIN,17,17,11,RCB,MurpBy00
9,Christian Gonzalez,10,2024,22,NWE,16,16,10,RCB,GonzCh00
10,Devon Witherspoon,10,2024,24,SEA,17,17,10,LCB,WithDe00
11,Budda Baker,9,2024,28,ARI,17,17,9,FS,BakeBu00
12,Denzel Ward,9,2024,27,CLE,16,16,9,LCB,WardDe02
13,Brian Branch,8,2024,23,DET,16,16,8,SS,BranBr00
14,Minkah Fitzpatrick,8,2024,28,PIT,17,17,8,SS,FitzMi00
15,C.J. Gardner-Johnson,8,2024,27,PHI,16,16,8,SS,GardCh00
16,Kyle Hamilton,8,2024,23,BAL,17,17,8,SS,HamiKy00
17,Jaylon Johnson,8,2024,25,CHI,17,17,8,RCB,JohnJa13
18,Jalen Ramsey,8,2024,30,MIA,17,17,8,LCB,RamsJa00
19,Reed Blankenship,7,2024,25,PHI,15,15,7,FS,BlanRe00
20,Kevin Byard,7,2024,31,CHI,17,17,7,SS,ByarKe01
21,Camryn Bynum,7,2024,26,MIN,17,17,7,FS,BynuCa00
22,Julian Love,7,2024,26,SEA,17,17,7,FS,LoveJu00
23,Zyon McCollum,7,2024,25,TAM,17,17,7,RCB,McCoZy02
24,Tre'von Moehrig,7,2024,25,LVR,17,17,7,SS,MoehTr00
25,Jordan Poyer,7,2024,33,MIA,16,16,7,FS,PoyeJo00
26,Harrison Smith,7,2024,35,MIN,16,16,7,SS,SmitHa00
27,Jessie Bates III,6,2024,27,ATL,17,17,6,SS,BateJe00
28,Christian Benford,6,2024,24,BUF,15,15,6,RCB,BenfCh00
29,Julian Blackmon,6,2024,26,IND,16,16,6,FS,BlacJu01
30,Jeremy Chinn,6,2024,26,WAS,17,17,6,FS,ChinJe00
31,Bryan Cook,6,2024,25,KAN,17,17,6,FS,CookBr02
32,Nick Cross,6,2024,23,IND,17,17,6,SS,CrosNi00
33,Kamren Curl,6,2024,25,LAR,16,16,6,FS,CurlKa00
34,Grant Delpit,6,2024,26,CLE,16,16,6,SS,DelpGr00
35,DeShon Elliott,6,2024,27,PIT,15,14,6,FS,ElliDe02
36,Stephon Gilmore,6,2024,34,MIN,15,15,6,LCB,GilmSt00
37,Jevon Holland,6,2024,24,MIA,15,15,6,SS,HollJe02
38,Amani Hooker,6,2024,26,TEN,14,14,6,FS,HookAm00
39,Jaycee Horn,6,2024,25,CAR,15,15,6,LCB,HornJa00
40,Donte Jackson,6,2024,29,PIT,15,15,6,LCB,JackDo02
41,Brandon Jones,6,2024,26,DEN,16,15,6,FS,JoneBr06
42,Jack Jones,6,2024,27,LVR,17,16,6,LCB,JoneJa10
43,Jaylon Jones,6,2024,22,IND,17,17,6,LCB,JoneJa13
44,Tyrann Mathieu,6,2024,32,NOR,17,17,6,FS,MathTy00
45,Quinyon Mitchell,6,2024,23,PHI,16,16,6,LCB,MitcQu00
46,Elijah Molden,6,2024,25,LAC,15,12,6,CB,MoldEl00
47,Kenny Moore,6,2024,29,IND,15,15,6,RCB,MoorKe03
48,Keisean Nixon,6,2024,27,GNB,17,15,6,LCB,NixoKe00
49,Jason Pinnock,6,2024,25,NYG,16,16,6,SS,PinnJa01
50,Joey Porter Jr.,6,2024,24,PIT,16,16,6,RCB,PortJo02
51,Brenden Schooler,6,2024,27,NWE,17,0,6,S,SchoBr00
52,Darius Slay,6,2024,33,PHI,14,14,6,RCB,SlayDa00
53,Tyrique Stevenson,6,2024,24,CHI,16,14,6,LCB,StevTy01
54,Tarheeb Still,6,2024,22,LAC,14,12,6,RCB,StilTa00
55,Geno Stone,6,2024,25,CIN,17,17,6,SS,StonGe00
56,Cam Taylor-Britt,6,2024,25,CIN,17,17,6,LCB,TaylCa01
57,Donovan Wilson,6,2024,29,DAL,17,17,6,FS,WilsDo01
58,Riq Woolen,6,2024,25,SEA,15,14,6,RCB,WoolTa00
59,Terrion Arnold,5,2024,21,DET,16,15,5,RCB,ArnoTe00
60,Deonte Banks,5,2024,23,NYG,14,14,5,RCB,BankDe00
61,Jarvis Brownlee,5,2024,23,TEN,17,14,5,LCB,BrowJa09
62,Coby Bryant,5,2024,25,SEA,17,11,5,SS,BryaCo01
63,Calen Bullock,5,2024,21,HOU,17,13,5,FS,BullCa00
64,Sean Murphy-Bunting,5,2024,27,ARI,15,15,5,CB,BuntSe00
65,Andre Cisco,5,2024,24,JAX,16,14,5,SS,CiscAn00
66,Carlton Davis,5,2024,28,DET,13,13,5,LCB,DaviCa02
67,Cooper DeJean,5,2024,21,PHI,16,9,5,DB,DeJeCo00
68,Rasul Douglas,5,2024,29,BUF,15,15,5,LCB,DougRa00
69,Cobie Durant,5,2024,26,LAR,15,14,5,RCB,DuraDe01
70,Martin Emerson,5,2024,24,CLE,17,15,5,RCB,EmerMa00
71,Kendall Fuller,5,2024,29,MIA,11,11,5,RCB,FullKe00
72,Kristian Fulton,5,2024,26,LAC,15,14,5,LCB,FultKr00
73,Sauce Gardner,5,2024,24,NYJ,15,15,5,LCB,GardSa00
74,Kyler Gordon,5,2024,25,CHI,15,13,5,DB,GordKy00
75,J.T. Gray,5,2024,28,NOR,17,0,5,DB,GrayJ.00
76,Damar Hamlin,5,2024,26,BUF,14,14,5,SS,HamlDa00
77,Malik Hooker,5,2024,28,DAL,17,17,5,SS,HookMa00
78,Michael Jackson,5,2024,27,CAR,17,17,5,RCB,JackMi01
79,Taron Johnson,5,2024,28,BUF,12,12,5,CB,JohnTa01
80,Kader Kohou,5,2024,26,MIA,15,9,5,CB,KohoKa00
81,Quentin Lake,5,2024,25,LAR,17,16,5,SS,LakeQu00
82,Kamari Lassiter,5,2024,21,HOU,14,14,5,RCB,LassKa00
83,P.J. Locke,5,2024,27,DEN,15,15,5,SS,LockPJ00
84,Quan Martin,5,2024,24,WAS,16,16,5,SS,MartJa04
85,Riley Moss,5,2024,24,DEN,14,14,5,RCB,MossRi00
86,Eric Murray,5,2024,30,HOU,17,14,5,SS,MurrEr00
87,Tyler Nubin,5,2024,23,NYG,13,13,5,FS,NubiTy00
88,Isaiah Pola-Mao,5,2024,25,LVR,17,14,5,FS,PolaIs00
89,Taylor Rapp,5,2024,27,BUF,14,14,5,FS,RappTa00
90,D.J. Reed,5,2024,28,NYJ,14,14,5,RCB,ReedD.00
91,Justin Reid,5,2024,27,KAN,16,16,5,SS,ReidJu00
92,Mike Sainristil,5,2024,24,WAS,17,16,5,RCB,SainMi00
93,Justin Simmons,5,2024,31,ATL,16,16,5,FS,SimmJu00
94,Alontae Taylor,5,2024,26,NOR,17,15,5,LCB,TaylAl01
95,AJ Terrell,5,2024,26,ATL,17,17,5,LCB,TerrAJ00
96,Jalen Thompson,5,2024,26,ARI,15,15,5,SS,ThomJa04
97,Starling Thomas,5,2024,24,ARI,17,15,5,RCB,ThomSt01
98,Xavier Woods,5,2024,29,CAR,17,17,5,FS,WoodXa00
99,Tony Adams,4,2024,25,NYJ,15,11,4,FS,AdamTo03
100,DeAundre Alford,4,2024,27,ATL,16,11,4,CB,AlfoDe00
101,Darrell Baker,4,2024,26,TEN,17,9,4,RCB,BakeDa02
102,Vonn Bell,4,2024,30,CIN,17,11,4,FS,BellVo00
103,Beanie Bishop,4,2024,25,PIT,17,6,4,CB,BishBe00
104,Ji'Ayir Brown,4,2024,24,SFO,17,13,4,FS,BrowJi01
105,Montaric Brown,4,2024,25,JAX,17,10,4,CB,BrowMo00
106,Javon Bullard,4,2024,22,GNB,15,11,4,SS,BullJa00
107,Tyson Campbell,4,2024,24,JAX,12,12,4,RCB,CampTy01
108,Chuck Clark,4,2024,29,NYJ,12,12,4,SS,ClarCh00
109,Chamarri Conner,4,2024,24,KAN,15,9,4,DB,ConnCh01
110,Ronald Darby,4,2024,30,JAX,13,12,4,LCB,DarbRo00
111,Jamel Dean,4,2024,28,TAM,12,12,4,LCB,DeanJa00
112,Trevon Diggs,4,2024,26,DAL,11,11,4,RCB,DiggTr00
113,Cordale Flott,4,2024,23,NYG,14,10,4,LCB,FlotCo00
114,Alohi Gilman,4,2024,27,LAC,11,11,4,FS,GilmAl00
115,Will Harris,4,2024,29,NOR,13,13,4,SS,HarrWi02
116,Mike Hughes,4,2024,27,ATL,15,15,4,RCB,HughMi00
117,Christian Izien,4,2024,24,TAM,14,10,4,SS,IzieCh00
118,Rayshawn Jenkins,4,2024,30,SEA,13,9,4,SS,JenkRa00
119,Jonathan Jones,4,2024,31,NWE,17,14,4,LCB,JoneJo03
120,Jourdan Lewis,4,2024,29,DAL,16,13,4,LCB,LewiJo01
121,Ja'Quan McMillian,4,2024,24,DEN,17,9,4,CB,McMiJa00
122,Josh Metellus,4,2024,26,MIN,17,10,4,S,MeteJo00
123,Malik Mustapha,4,2024,22,SFO,16,12,4,SS,MustMa00
124,Jalen Pitre,4,2024,25,HOU,12,12,4,S,PitrJa00
125,Darnell Savage Jr.,4,2024,27,JAX,13,13,4,FS,SavaDa00
126,Brandon Stephens,4,2024,27,BAL,17,17,4,RCB,StepBr01
127,Benjamin St-Juste,4,2024,27,WAS,17,14,4,LCB,StJuBe00
128,Juan Thornhill,4,2024,29,CLE,11,11,4,FS,ThorJu00
129,Jimmie Ward,4,2024,33,HOU,10,10,4,S,WardJi01
130,Jordan Whitehead,4,2024,27,TAM,12,12,4,FS,WhitJo03
131,Darious Williams,4,2024,31,LAR,12,11,4,LCB,WillDa09
132,Garrett Williams,4,2024,23,ARI,16,11,4,LCB,WillGa00
133,Antoine Winfield Jr.,4,2024,26,TAM,9,9,4,SS,WinfAn00
134,Samuel Womack,4,2024,25,IND,17,8,4,CB,WomaSa00
135,Paulson Adebo,3,2024,25,NOR,7,7,3,CB,AdebPa00
136,Jaire Alexander,3,2024,27,GNB,7,7,3,CB,AlexJa00
137,Chidobe Awuzie,3,2024,29,TEN,8,7,3,CB,AwuzCh00
138,Jordan Battle,3,2024,24,CIN,17,6,3,S,BattJo00
139,Dane Belton,3,2024,24,NYG,17,6,3,S,BeltDa00
140,Jakorian Bennett,3,2024,24,LVR,10,7,3,CB,BennJa00
141,Quandre Diggs,3,2024,31,TEN,8,8,3,SS,DiggQu00
142,Kyle Dugger,3,2024,28,NWE,13,13,3,FS,DuggKy00
143,Brandin Echols,3,2024,27,NYJ,16,4,3,CB,EchoBr00
144,Renardo Green,3,2024,24,SFO,17,7,3,CB,GreeRe00
145,Thomas Harper,3,2024,24,LVR,15,5,3,S,HarpTh00
146,Cam Hart,3,2024,24,LAC,14,6,3,CB,HartCa00
147,Elijah Hicks,3,2024,25,CHI,12,7,3,FS,HickEl00
148,Mike Hilton,3,2024,30,CIN,16,10,3,CB,HiltMi01
149,Nate Hobbs,3,2024,25,LVR,11,7,3,CB,HobbNa00
150,Noah Igbinoghene,3,2024,25,WAS,17,10,3,CB,IgbiNo00
151,Adoree' Jackson,3,2024,29,NYG,14,5,3,CB,JackAd00
152,Josh Jobe,3,2024,26,SEA,10,6,3,CB,JobeJo00
153,Antonio Johnson,3,2024,23,JAX,17,8,3,S,JohnAn07
154,Marcus Jones,3,2024,26,NWE,14,9,3,CB,JoneMa06
155,Miles Killebrew,3,2024,31,PIT,17,0,3,S,KillMi00
156,Kamren Kinchens,3,2024,22,LAR,17,4,3,DB,KincKa00
157,Marshon Lattimore,3,2024,28,NORWAS,9,9,3,CB,LattMa01
158,Cameron Lewis,3,2024,27,BUF,17,6,3,DB,LewiCa00
159,Marte Mapu,3,2024,25,NWE,10,9,3,SS,MapuMa00
160,Marcus Maye,3,2024,31,MIALAC,15,4,3,S,MayeMa00
161,Roger McCreary,3,2024,24,TEN,15,7,3,CB,McCrRo01
162,Kool-Aid McKinstry,3,2024,22,NOR,15,9,3,RCB,McKiKo00
163,Rodney McLeod,3,2024,34,CLE,17,5,3,S,McLeRo00
164,Kaevon Merriweather,3,2024,25,TAM,14,5,3,S,MerrKa00
165,Jalen Mills,3,2024,30,NYJ,9,8,3,S,MillJa02
166,Isaiah Oliver,3,2024,28,NYJ,17,7,3,CB,OlivIs00
167,Jonathan Owens,3,2024,29,CHI,17,5,3,S,OwenJo01
168,Andru Phillips,3,2024,23,NYG,14,6,3,CB,PhilAn02
169,Decamerion Richardson,3,2024,23,LVR,12,7,3,RCB,RichDe01
170,Tykee Smith,3,2024,23,TAM,13,6,3,S,SmitTy05
171,Eric Stokes,3,2024,25,GNB,17,7,3,RCB,StokEr00
172,Carrington Valentine,3,2024,23,GNB,15,7,3,CB,ValeCa00
173,Charvarius Ward,3,2024,28,SFO,12,12,3,LCB,WardCh01
174,Ar'Darius Washington,3,2024,25,BAL,17,10,3,S,WashAr00
175,Evan Williams,3,2024,23,GNB,13,6,3,S,WillEv00
176,Daryl Worley,3,2024,29,TEN,9,7,3,CB,WorlDa00
177,Isaac Yiadom,3,2024,28,SFO,17,5,3,CB,YiadIs00
178,Ugo Amadi,2,2024,27,NOR,11,5,2,S,AmadUg00
179,Zayne Anderson,2,2024,27,GNB,16,2,2,S,AndeZa02
180,Cole Bishop,2,2024,22,BUF,16,4,2,S,BishCo00
181,Josh Blackwell,2,2024,25,CHI,17,1,2,DB,BlacJo00
182,DaRon Bland,2,2024,25,DAL,7,7,2,CB,BlanDa00
183,Jaquan Brisker,2,2024,25,CHI,5,5,2,DB,BrisJa01
184,Mike Brown,2,2024,25,TEN,17,4,2,S,BrowMi02
185,Tre Brown,2,2024,27,SEA,13,3,2,CB,BrowTr03
186,Percy Butler,2,2024,24,WAS,17,5,2,S,ButlPe00
187,Elijah Campbell,2,2024,29,MIA,17,1,2,DB,CampEl00
188,Ashtyn Davis,2,2024,28,NYJ,15,1,2,S,DaviAs00
189,Andrew DePaola,2,2024,37,MIN,13,0,2,LS,DePaAn00
190,Storm Duck,2,2024,24,MIA,14,3,2,CB,DuckSt00
191,Kaiir Elam,2,2024,23,BUF,13,4,2,CB,ElamKa00
192,Jordan Fuller,2,2024,26,CAR,9,9,2,SS,FullJo01
193,Shaquill Griffin,2,2024,29,MIN,17,3,2,CB,GrifSh00
194,Jaylinn Hawkins,2,2024,27,NWE,17,7,2,S,HawkJa00
195,Josh Hayes,2,2024,25,TAM,15,3,2,DB,HayeJo01
196,Jaden Hicks,2,2024,22,KAN,17,1,2,DB,HickJa01
197,Ronnie Hickman,2,2024,23,CLE,14,5,2,S,HickRo00
198,Jordan Howden,2,2024,24,NOR,17,4,2,DB,HowdJo00
199,Talanoa Hufanga,2,2024,25,SFO,7,7,2,S,HufaTa00
200,Ja'Marcus Ingram,2,2024,27,BUF,17,1,2,CB,IngrJa00
201,Tony Jefferson,2,2024,32,LAC,8,4,2,S,JeffTo00
202,Nazeeh Johnson,2,2024,26,KAN,16,6,2,S,JohnNa01
203,Jarrian Jones,2,2024,23,JAX,17,4,2,CB,JoneJa14
204,Chris Lammons,2,2024,28,IND,14,1,2,CB,LammCh00
205,Avonte Maddox,2,2024,28,PHI,17,3,2,CB,MaddAv00
206,Ross Matiscik,2,2024,28,JAX,17,0,2,LS,MatiRo00
207,Nick McCloud,2,2024,26,NYGSFO,15,5,2,CB,McClNi00
208,Jaylen McCollough,2,2024,24,LAR,17,1,2,DB,McCoJa02
209,Tristin McCollum,2,2024,25,PHI,14,2,2,S,McCoTr00
210,Max Melton,2,2024,22,ARI,17,3,2,CB,MeltMa00
211,Greg Newsome II,2,2024,24,CLE,13,3,2,CB,NewsGr00
212,Josh Newton,2,2024,24,CIN,17,6,2,RCB,NewtJo00
213,Jabrill Peppers,2,2024,29,NWE,6,6,2,S,PeppJa00
214,Clark Phillips,2,2024,23,ATL,16,2,2,CB,PhilCl00
215,James Pierre,2,2024,28,PIT,15,2,2,CB,PierJa01
216,Demani Richardson,2,2024,24,CAR,14,5,2,S,RichDe03
217,Kelee Ringo,2,2024,22,PHI,17,1,2,CB,RingKe00
218,Amik Robertson,2,2024,26,DET,17,4,2,CB,RobeAm00
219,Isaiah Rodgers,2,2024,26,PHI,15,3,2,CB,RodgIs00
220,Christian Roland-Wallace,2,2024,23,KAN,17,2,2,CB,RolaCh00
221,Chau Smith-Wade,2,2024,22,CAR,14,4,2,CB,SmitCh05
222,Terell Smith,2,2024,25,CHI,14,2,2,DB,SmitTe05
223,L'Jarius Sneed,2,2024,27,TEN,5,5,2,CB,SneeLJ00
224,Ja'Sir Taylor,2,2024,25,LAC,15,2,2,DB,TaylJa04
225,Juanyeh Thomas,2,2024,24,DAL,13,0,2,S,ThomJu03
226,DJ Turner,2,2024,24,CIN,11,6,2,CB,TurnDJ01
227,Kindle Vildor,2,2024,27,DET,17,2,2,CB,VildKi00
228,Josh Wallace,2,2024,24,LAR,17,3,2,DB,WallJo00
229,Jaylen Watson,2,2024,26,KAN,6,6,2,RCB,WatsJa02
230,Nate Wiggins,2,2024,21,BAL,15,6,2,CB,WiggNa00
231,Joshua Williams,2,2024,25,KAN,17,6,2,CB,WillJo03
232,Marcus Williams,2,2024,28,BAL,11,9,2,FS,WillMa06
233,Ahkello Witherspoon,2,2024,29,LAR,13,5,2,CB,WithAh00
234,Kris Abrams-Draine,1,2024,23,DEN,5,1,1,CB,AbraKr00
235,Jamal Adams,1,2024,29,DETTEN,5,3,1,DB,AdamJa00
236,Cal Adomitis,1,2024,26,CIN,17,0,1,LS,AdomCa00
237,Tycen Anderson,1,2024,25,CIN,17,0,1,S,AndeTy00
238,Daijahn Anthony,1,2024,24,CIN,13,0,1,S,AnthDa00
239,Jalyn Armour-Davis,1,2024,25,BAL,7,2,1,CB,ArmoJa00
240,Alex Austin,1,2024,23,NWE,9,3,1,CB,AustAl00
241,Tre Avery,1,2024,27,TEN,9,0,1,CB,AverTr01
242,Corey Ballentine,1,2024,28,GNB,15,1,1,CB,BallCo00
243,D'Anthony Bell,1,2024,28,CLE,17,1,1,S,BellDA03
244,Joey Blount,1,2024,26,ARI,15,0,1,S,BlouJo00
245,Jacob Bobenmoyer,1,2024,27,LVR,17,0,1,LS,BobeJa00
246,Isaiah Bolden,1,2024,25,NWE,14,0,1,CB,BoldIs00
247,Andrew Booth,1,2024,24,DAL,7,2,1,CB,BootAn00
248,Kris Boyd,1,2024,28,HOU,17,0,1,CB,BoydKr00
249,Aaron Brewer,1,2024,34,ARI,17,0,1,LS,BrewAa00
250,Sydney Brown,1,2024,24,PHI,11,0,1,S,BrowSy00
251,Myles Bryant,1,2024,26,HOU,11,0,1,CB,BryaMy01
252,Josh Butler,1,2024,28,DAL,5,3,1,CB,ButlJo00
253,Joe Cardona,1,2024,32,NWE,16,0,1,LS,CardJo00
254,Caelen Carson,1,2024,22,DAL,6,5,1,CB,CarsCa01
255,Michael Carter II,1,2024,25,NYJ,13,1,1,CB,CartMi02
256,Kei'Trel Clark,1,2024,23,ARI,15,1,1,CB,ClarKe02
257,Brandon Codrington,1,2024,24,BUF,17,0,1,DB,CodrBr00
258,Morgan Cox,1,2024,38,TEN,17,0,1,LS,CoxxMo00
259,Scott Daly,1,2024,30,CHI,17,0,1,LS,DalySc01
260,Michael Davis,1,2024,29,WAS,15,2,1,CB,DaviMi03
261,Evan Deckers,1,2024,25,TAM,11,0,1,LS,DeckEv00
262,Marcellas Dial,1,2024,24,NWE,17,1,1,DB,DialMa00
263,Khalil Dorsey,1,2024,26,DET,14,1,1,CB,DorsKh00
264,Mike Edwards,1,2024,28,BUFTAM,8,2,1,S,EdwaMi01
265,Marcus Epps,1,2024,28,LVR,3,3,1,S,EppsMa00
266,Caleb Farley,1,2024,26,CAR,9,1,1,CB,FarlCa00
267,Reid Ferguson,1,2024,30,BUF,17,0,1,LS,FergRe00
268,AJ Finley,1,2024,23,LACSEA,14,0,1,S,FinlAJ00
269,Emmanuel Forbes,1,2024,23,LARWAS,8,2,1,CB,ForbEm00
270,Mike Ford,1,2024,29,CLE,17,0,1,CB,FordMi01
271,Darrick Forrest,1,2024,25,WAS,10,1,1,S,ForrDa00
272,Mitchell Fraboni,1,2024,28,DEN,17,0,1,LS,FrabMi00
273,Tyrek Funderburk,1,2024,24,TAM,13,2,1,CB,FundTy00
274,C.J. Goodwin,1,2024,34,DAL,17,0,1,CB,GoodC.00
275,Richie Grant,1,2024,27,ATL,17,1,1,S,GranRi00
276,Art Green,1,2024,24,NYG,9,0,1,CB,GreeAr01
277,Antonio Hamilton,1,2024,31,ATL,11,0,1,CB,HamiAn01
278,Justin Hardee,1,2024,30,TEN,9,0,1,CB,HardJu01
279,Josh Harris,1,2024,35,LAC,17,0,1,LS,HarrJo02
280,Ronnie Harrison,1,2024,27,IND,10,0,1,S,HarrRo02
281,Hogan Hatten,1,2024,24,DET,17,0,1,LS,HattHo00
282,Tre Hawkins,1,2024,24,NYG,3,1,1,CB,HawkTr00
283,Thomas Hennessy,1,2024,30,NYJ,17,0,1,LS,HennTh00
284,Daxton Hill,1,2024,24,CIN,5,5,1,CB,HillDa04
285,Troy Hill,1,2024,33,CARTAM,8,2,1,CB,HillTr01
286,Ka'dar Hollman,1,2024,30,HOUBAL,10,1,1,CB,HollKa00
287,Darnay Holmes,1,2024,26,LVR,16,1,1,CB,HolmDa01
288,DJ Ivey,1,2024,24,CIN,11,0,1,CB,IveyDJ00
289,Dane Jackson,1,2024,28,CAR,9,3,1,CB,JackDa02
290,Eddie Jackson,1,2024,31,BALLAC,11,4,1,FS,JackEd01
291,Theo Jackson,1,2024,26,MIN,17,0,1,S,JackTh00
292,J.J. Jansen,1,2024,38,CAR,17,0,1,LS,JansJ.00
293,Shemar Jean-Charles,1,2024,26,NOR,9,2,1,DB,JeanSh00
294,Anthony Johnson,1,2024,25,NYG,9,0,1,S,JohnAn08
295,John Johnson,1,2024,29,LAR,2,1,1,S,JohnJo10
296,Lonnie Johnson Jr.,1,2024,29,CAR,15,1,1,S,JohnLo01
297,Jaylon Jones,1,2024,27,CHI,8,1,1,DB,JoneJa12
298,Brandon Joseph,1,2024,23,DET,14,1,1,S,JoseBr00
299,Sanoussi Kane,1,2024,23,BAL,15,0,1,S,KaneSa00
300,Damontae Kazee,1,2024,31,PIT,15,1,1,S,KazeDa00
301,Devon Key,1,2024,27,DEN,17,2,1,DB,KeyxDe00
302,Kevin King,1,2024,29,ATL,15,1,1,CB,KingKe01
303,Casey Kreiter,1,2024,34,NYG,17,0,1,LS,KreiCa00
304,Christian Kuntz,1,2024,30,PIT,17,0,1,LS,KuntCh02
305,Deane Leonard,1,2024,25,LAC,10,0,1,DB,LeonDe00
306,David Long,1,2024,26,IND,13,0,1,CB,LongDa02
307,Rick Lovato,1,2024,32,PHI,17,0,1,LS,LovaRi00
308,Damarri Mathis,1,2024,25,DEN,10,1,1,CB,MathDa00
309,Liam McCullough,1,2024,27,ATL,17,0,1,LS,McCuLi00
310,Ifeatu Melifonwu,1,2024,25,DET,3,3,1,S,MeliIf00
311,Cameron Mitchell,1,2024,23,CLE,17,1,1,CB,MitcCa01
312,Nick Moore,1,2024,32,BAL,17,0,1,LS,MoorNi00
313,Tarvarius Moore,1,2024,28,CHI,11,0,1,S,MoorTa00
314,Israel Mukuamu,1,2024,25,DAL,17,0,1,S,MukuIs00
315,Siran Neal,1,2024,30,MIA,17,0,1,CB,NealSi00
316,George Odum,1,2024,31,SFO,12,2,1,S,OdumGe00
317,Kitan Oladapo,1,2024,24,GNB,9,0,1,S,OladKi00
318,Amani Oruwariye,1,2024,28,DAL,7,4,1,CB,OruwAm00
319,Matthew Orzech,1,2024,29,GNB,17,0,1,LS,OrzeMa00
320,Tyler Ott,1,2024,32,WAS,17,0,1,LS,OttxTy00
321,Tyler Owens,1,2024,23,WAS,12,0,1,S,OwenTy00
322,Rico Payton,1,2024,25,NOR,16,0,1,CB,PaytRi00
323,Taybor Pepper,1,2024,30,SFO,17,0,1,LS,PeppTa00
324,Dell Pettus,1,2024,23,NWE,17,1,1,S,PettDe00
325,Deantre Prince,1,2024,24,JAX,10,0,1,CB,PrinDe01
326,Nehemiah Pritchett,1,2024,23,SEA,10,1,1,CB,PritNe00
327,Jeremy Reaves,1,2024,28,WAS,17,0,1,S,ReavJe00
328,Luke Rhodes,1,2024,32,IND,17,0,1,LS,RhodLu00
329,Robert Rochell,1,2024,26,GNB,11,0,1,CB,RochRo00
330,D'Angelo Ross,1,2024,28,HOU,10,2,1,CB,RossDA03
331,Asante Samuel Jr.,1,2024,25,LAC,4,4,1,CB,SamuAs00
332,Nick Scott,1,2024,29,CAR,10,4,1,S,ScotNi01
333,Trent Sieg,1,2024,29,DAL,17,0,1,LS,SiegTr00
334,Isaiah Simmons,1,2024,26,NYG,17,1,1,S,SimmIs00
335,JL Skinner,1,2024,23,DEN,14,0,1,S,SkinJL00
336,Christopher Smith,1,2024,24,LVR,15,0,1,S,SmitCh04
337,Tremon Smith,1,2024,28,DEN,17,0,1,CB,SmitTr04
338,M.J. Stewart,1,2024,29,HOU,15,0,1,S,StewM.00
339,Qwan'tez Stiggers,1,2024,22,NYJ,14,1,1,CB,StigQw00
340,Chris Stoll,1,2024,26,SEA,17,0,1,LS,StolCh00
341,Greg Stroman,1,2024,28,NYG,4,1,1,CB,StroGr00
342,Cameron Sutton,1,2024,29,PIT,9,2,1,CB,SuttCa00
343,Dadrion Taylor-Demerson,1,2024,23,ARI,17,2,1,S,TaylDa02
344,Keith Taylor,1,2024,26,KAN,11,0,1,CB,TaylKe03
345,Trey Taylor,1,2024,23,LVR,9,0,1,S,TaylTr03
346,Daniel Thomas,1,2024,26,JAX,15,0,1,S,ThomDa07
347,Rodney Thomas II,1,2024,26,IND,17,1,1,S,ThomRo07
348,Tavierre Thomas,1,2024,28,TAM,17,0,1,CB,ThomTa01
349,Cory Trice,1,2024,24,PIT,6,1,1,CB,TricCo00
350,K'Von Wallace,1,2024,27,SEA,9,0,1,S,WallKV00
351,Levi Wallace,1,2024,29,DEN,13,2,1,CB,WallLe00
352,Alex Ward,1,2024,25,LAR,17,0,1,LS,WardAl00
353,Jay Ward,1,2024,24,MIN,16,0,1,S,WardJa00
354,Sam Webb,1,2024,26,LVR,11,0,1,CB,WebbSa00
355,Jon Weeks,1,2024,38,HOU,17,0,1,LS,WeekJo00
356,Tre'Davious White,1,2024,29,LARBAL,11,4,1,DB,WhitTr01
357,Dee Williams,1,2024,25,NYGSEA,13,0,1,DB,WillDe11
358,James Winchester,1,2024,35,KAN,17,0,1,LS,WincJa00
359,Andrew Wingard,1,2024,28,JAX,8,2,1,S,WingAn01
360,Charles Woods,1,2024,24,LAR,12,0,1,CB,WoodCh01
361,Julius Wood,1,2024,23,TEN,9,0,1,S,WoodJu00
362,Zach Wood,1,2024,31,NOR,17,0,1,LS,WoodZa00
363,Rock Ya-Sin,1,2024,28,SFO,13,0,1,CB,Ya-SRo00