player_key,pos_group,draft_season,round,pick,player_snaps_two_yr,team_snaps_two_yr,seasons_observed,snap_share_two_yr,bust,pos_code_main,pos_thresh,ABI_pos,bust_adj_pos,draft_year_x,team,team_def_snaps_3yr,draft_year_y,ewii,DCI,draft_year,grp
AARON ROBINSON,DB,2021,3,71,340.0,750.0,2,0.4533333333333333,0,CB,0.2661937642864212,1.703020108485908,0,2021,NYG,39102.0,2021.0,-0.10109611687136875,-0.0008790517041651418,2021.0,single
AJ TERRELL,DB,2020,1,16,1933.0,2022.0,2,0.9559841740850643,0,CB,0.2661937642864212,3.5913094232231417,0,2020,ATL,37113.0,2020.0,-0.026668247082161294,-0.0013889936574736016,2020.0,single
ALONTAE TAYLOR,DB,2022,2,49,1613.0,1997.0,2,0.8077115673510266,0,CB,0.2661937642864212,3.034299355269415,0,2022,NOR,0.0,,,0.0,,unknown
AMBRY THOMAS,DB,2021,3,102,523.0,1864.0,2,0.2805793991416309,1,CB,0.2661937642864212,1.0540419678641717,0,2021,SFO,0.0,,,0.0,,unknown
ANDRE CISCO,DB,2021,3,65,1373.0,2250.0,2,0.6102222222222222,0,SS,0.2516845475376784,2.4245517978447566,0,2021,JAX,38274.0,2021.0,0.3409265869705932,0.012230030932503121,2021.0,single
ANDREW BOOTH,DB,2022,2,42,256.0,1559.0,2,0.16420782552918536,1,CB,0.2661937642864212,0.616873298927092,1,2022,MIN,39044.0,2022.0,0.022472855852058576,0.0001473478920737372,2022.0,double
ANTOINE WINFIELD JR.,DB,2020,2,45,2258.0,2302.0,2,0.9808861859252823,0,FS,0.2642123395618421,3.7124919583693177,0,2020,TAM,0.0,,,0.0,,unknown
ASANTE SAMUEL JR.,DB,2021,2,47,1739.0,1941.0,2,0.8959299330242143,0,CB,0.2661937642864212,3.365705937650007,0,2021,LAC,37764.0,2021.0,-0.019802627296179643,-0.0009118941020034001,2021.0,single
ASHTYN DAVIS,DB,2020,3,68,1148.0,1658.0,2,0.6924004825090471,0,SS,0.2516845475376784,2.751064732749997,0,2020,NYJ,38064.0,2020.0,-0.4978384282391794,-0.015014673066902531,2020.0,single
BENJAMIN ST-JUSTE,DB,2021,3,74,973.0,1302.0,2,0.7473118279569892,0,CB,0.2661937642864212,2.807397949235546,0,2021,WAS,36470.0,2021.0,-0.12405264866997888,-0.0033096579971453096,2021.0,single
BRANDON JONES,DB,2020,3,70,1031.0,2025.0,2,0.5091358024691358,0,SS,0.2516845475376784,2.022912441189564,0,2020,MIA,37156.0,2020.0,0.3448404862917296,0.009568590304843718,2020.0,single
BRANDON STEPHENS,DB,2021,3,104,1197.0,2044.0,2,0.5856164383561644,0,FS,0.2642123395618421,2.2164613481994233,0,2021,BAL,38754.0,2021.0,-0.14571181118139365,-0.004500620271046297,2021.0,zero
BRYAN COOK,DB,2022,2,62,990.0,2015.0,2,0.4913151364764268,0,FS,0.2642123395618421,1.8595465196334198,0,,NAN,0.0,,,0.0,,unknown
BYRON MURPHY,DB,2019,2,33,1900.0,2176.0,2,0.8731617647058824,0,CB,0.2661937642864212,3.2801736248275564,0,2019,ARI,37288.0,2019.0,-0.05406722127027582,-0.00275498070192888,2019.0,single
C.J. HENDERSON,DB,2020,1,9,864.0,1367.0,2,0.6320409656181419,0,CB,0.2661937642864212,2.3743642805173812,0,2020,JAX,38370.0,2020.0,-0.13720112151348515,-0.0030894388581613544,2020.0,single
CALEB FARLEY,DB,2021,1,22,163.0,841.0,2,0.1938168846611177,1,CB,0.2661937642864212,0.7281045263425973,1,2021,TEN,38247.0,2021.0,-0.17768117723745264,-0.0007572366954193736,2021.0,single
CAM TAYLOR-BRITT,DB,2022,2,60,1444.0,1599.0,2,0.9030644152595372,0,DB,0.25819544919884685,3.4976000470250366,0,2022,CIN,38192.0,2022.0,-0.24116205681688824,-0.009118087820579875,2022.0,double
CAMERON DANTZLER,DB,2020,3,89,1287.0,1739.0,2,0.7400805060379528,0,CB,0.2661937642864212,2.7802323169435152,0,2020,MIN,38663.0,2020.0,-0.2231435513142097,-0.007427922058334528,2020.0,single
CORDALE FLOTT,DB,2022,3,81,856.0,1788.0,2,0.47874720357941836,0,CB,0.2661937642864212,1.798491429214293,0,2022,NYG,38288.0,2022.0,-0.15123096972392366,-0.003381051767751741,2022.0,zero
DAMON ARNETTE,DB,2020,1,19,403.0,910.0,2,0.44285714285714284,0,CB,0.2661937642864212,1.6636646017772,0,2020,LVR,0.0,,,0.0,,unknown
DARNELL SAVAGE JR.,DB,2019,1,21,1970.0,2105.0,2,0.9358669833729216,0,SS,0.2516845475376784,3.718412562586179,0,2019,GNB,0.0,,,0.0,,unknown
DAVID LONG,DB,2019,3,79,822.0,3907.0,2,0.21039160481187613,1,LB,0.2560338817712687,0.8217334493246183,1,2019,LAR,0.0,,,0.0,,unknown
DAXTON HILL,DB,2022,1,31,1242.0,2259.0,2,0.549800796812749,0,FS,0.2642123395618421,2.080905069477504,0,2022,CIN,38192.0,2022.0,-0.24116205681688824,-0.007842565840138647,2022.0,double
DEANDRE BAKER,DB,2019,1,30,1016.0,1238.0,2,0.8206785137318255,0,CB,0.2661937642864212,3.083011790046237,0,2019,NYG,37091.0,2019.0,0.39589565709201385,0.01084440936090928,2019.0,single
DEREK STINGLEY JR.,DB,2022,1,3,1413.0,1460.0,2,0.9678082191780822,0,CB,0.2661937642864212,3.635728364157819,0,2022,HOU,40183.0,2022.0,0.1823215567939548,0.006411177855059556,2022.0,single
DIVINE DEABLO,DB,2021,3,80,790.0,1756.0,2,0.4498861047835991,0,LB,0.2560338817712687,1.7571350388129916,0,2021,LVR,0.0,,,0.0,,unknown
ELIJAH MOLDEN,DB,2021,3,100,753.0,1251.0,2,0.6019184652278178,0,CB,0.2661937642864212,2.261204227835183,0,2021,TEN,38247.0,2021.0,-0.17768117723745264,-0.0034981547954036087,2021.0,single
ERIC STOKES,DB,2021,1,29,1466.0,1603.0,2,0.9145352464129757,0,CB,0.2661937642864212,3.435599811530322,0,2021,GNB,0.0,,,0.0,,unknown
GRANT DELPIT,DB,2020,2,44,599.0,985.0,1,0.6081218274111675,0,SS,0.2516845475376784,2.4162064511335513,0,2020,CLE,37863.0,2020.0,0.16551443847757333,0.0026184705028145265,2020.0,single
GREEDY WILLIAMS,DB,2019,2,46,680.0,775.0,1,0.8774193548387097,0,CB,0.2661937642864212,3.2961679519082097,0,2019,CLE,37620.0,2019.0,-0.15415067982725836,-0.0027863493429701137,2019.0,double
GREG NEWSOME II,DB,2021,1,26,1598.0,1728.0,2,0.9247685185185185,0,CB,0.2661937642864212,3.4740427560259413,0,2021,CLE,36494.0,2021.0,0.02061928720273561,0.0009028777593569218,2021.0,single
IFEATU MELIFONWU,DB,2021,3,101,340.0,1098.0,2,0.30965391621129323,0,CB,0.2661937642864212,1.1632651014248006,0,2021,DET,39125.0,2021.0,0.06252035698133393,0.0005433078945342757,2021.0,zero
JALEN PITRE,DB,2022,2,37,2123.0,2303.0,2,0.9218410768562745,0,FS,0.2642123395618421,3.4890159876144105,0,,NAN,0.0,,,0.0,,unknown
JAMEL DEAN,DB,2019,3,94,1303.0,2097.0,2,0.6213638531235097,0,CB,0.2661937642864212,2.334253977696224,0,2019,TAM,0.0,,,0.0,,unknown
JAQUAN BRISKER,DB,2022,2,48,1850.0,1898.0,2,0.9747102212855637,0,SS,0.2516845475376784,3.8727455889585154,0,,NAN,0.0,,,0.0,,unknown
JAYCEE HORN,DB,2021,1,8,954.0,1050.0,2,0.9085714285714286,0,CB,0.2661937642864212,3.4131957636461268,0,2021,CAR,36290.0,2021.0,-0.17327172127403667,-0.004555007497807412,2021.0,single
JAYLON JOHNSON,DB,2020,2,50,1800.0,1840.0,2,0.9782608695652174,0,CB,0.2661937642864212,3.6749954387084016,0,2020,CHI,36179.0,2020.0,-0.325422400434628,-0.016190616677695086,2020.0,single
JEFF GLADNEY,DB,2020,1,31,958.0,1074.0,1,0.8919925512104283,0,CB,0.2661937642864212,3.3509145249948653,0,2020,MIN,38663.0,2020.0,-0.2231435513142097,-0.0055290981599724,2020.0,single
JEFF OKUDAH,DB,2020,1,3,508.0,690.0,2,0.736231884057971,0,CB,0.2661937642864212,2.7657743449835084,0,2020,DET,37406.0,2020.0,-0.05884050002293335,-0.0007990957068825895,2020.0,single
JEREMY CHINN,DB,2020,2,64,1984.0,2015.0,2,0.9846153846153847,0,FS,0.2642123395618421,3.726606358538086,0,2020,CAR,36332.0,2020.0,-0.041672696400567956,-0.002275642124263097,2020.0,single
JEVON HOLLAND,DB,2021,2,36,2096.0,2273.0,2,0.9221293444786626,0,FS,0.2642123395618421,3.4901070328807524,0,2021,MIA,38805.0,2021.0,0.02409755157906074,0.0013015969104422447,2021.0,single
JOEJUAN WILLIAMS,DB,2019,2,45,256.0,1510.0,2,0.1695364238410596,1,CB,0.2661937642864212,0.6368910417399579,1,2019,NWE,0.0,,,0.0,,unknown
JOHNATHAN ABRAM,DB,2019,1,27,904.0,949.0,2,0.9525816649104321,0,S,0.2905953887168979,3.2780343456807244,0,2019,OAK,11449.0,,,0.0,,unknown
JT WOODS,DB,2022,3,79,91.0,834.0,2,0.1091127098321343,1,FS,0.2642123395618421,0.4129735576055302,1,,NAN,0.0,,,0.0,,unknown
JUAN THORNHILL,DB,2019,2,63,1852.0,2372.0,2,0.7807757166947723,0,FS,0.2642123395618421,2.9551069340272895,0,2019,KAN,0.0,,,0.0,,unknown
JULIAN BLACKMON,DB,2020,3,85,1351.0,1402.0,2,0.963623395149786,0,S,0.2905953887168979,3.316031267407899,0,2020,IND,36520.0,2020.0,0.25671984684781407,0.009496947236894765,2020.0,single
JUSTIN LAYNE,DB,2019,3,83,117.0,1756.0,2,0.06662870159453303,1,CB,0.2661937642864212,0.2503015116569048,1,2019,PIT,37483.0,2019.0,0.15963014559188393,0.0004982719375250226,2019.0,single
KAIIR ELAM,DB,2022,1,23,779.0,1314.0,2,0.5928462709284628,0,CB,0.2661937642864212,2.2271230602177723,0,2022,BUF,40206.0,2022.0,-0.08408311721054132,-0.0016291286948965748,2022.0,single
KELVIN JOSEPH,DB,2021,2,44,330.0,1980.0,2,0.16666666666666666,1,CB,0.2661937642864212,0.6261103340021721,1,2021,DAL,39977.0,2021.0,0.3398678256223509,0.002805522736958146,2021.0,single
KERBY JOSEPH,DB,2022,3,97,1923.0,2282.0,2,0.8426818580192813,0,FS,0.2642123395618421,3.189411438605582,0,2022,DET,39458.0,2022.0,-0.03077165866675366,-0.0014996679916916035,2022.0,zero
KRISTIAN FULTON,DB,2020,2,61,1009.0,1331.0,2,0.758076634109692,0,CB,0.2661937642864212,2.84783768748997,0,2020,TEN,38614.0,2020.0,-0.02150620522096362,-0.0005619661539325709,2020.0,single
KYLE DUGGER,DB,2020,2,37,1297.0,1864.0,2,0.6958154506437768,0,FS,0.2642123395618421,2.633546380905926,0,2020,NWE,0.0,,,0.0,,unknown
KYLE HAMILTON,DB,2022,1,14,1668.0,2244.0,2,0.7433155080213903,0,SS,0.2516845475376784,2.953361719237501,0,,NAN,0.0,,,0.0,,unknown
KYLER GORDON,DB,2022,2,39,1509.0,1693.0,2,0.8913171884229178,0,CB,0.2661937642864212,3.3483774152721004,0,2022,CHI,35401.0,2022.0,0.32542240043462795,0.013871427424531894,2022.0,single
LEWIS CINE,DB,2022,1,32,10.0,691.0,2,0.01447178002894356,1,FS,0.2642123395618421,0.05477329352952595,1,2022,MIN,39044.0,2022.0,0.022472855852058576,5.7557770341303596e-06,2022.0,double
LONNIE JOHNSON JR.,DB,2019,2,54,1282.0,2187.0,2,0.5861911294010059,0,CB,0.2661937642864212,2.202121942910246,0,2019,HOU,38266.0,2019.0,-0.3856624808119848,-0.012920590090444899,2019.0,single
MARCUS JONES,DB,2022,3,85,414.0,1100.0,2,0.37636363636363634,0,CB,0.2661937642864212,1.4138709724194505,0,2022,NWE,0.0,,,0.0,,unknown
MARQUISE BLAIR,DB,2019,2,47,301.0,1151.0,2,0.26151172893136404,1,FS,0.2642123395618421,0.9897786354908457,1,2019,SEA,40519.0,2019.0,0.20294084399669038,0.001507569141464592,2019.0,single
MARTIN EMERSON,DB,2022,3,68,1686.0,2098.0,2,0.8036224976167778,0,CB,0.2661937642864212,3.018938102367003,0,2022,CLE,36098.0,2022.0,0.016807118316381407,0.0007849964397312608,2022.0,single
MICHAEL OJEMUDIA,DB,2020,3,77,937.0,1233.0,2,0.7599351175993512,0,CB,0.2661937642864212,2.854819381800658,0,2020,DEN,36540.0,2020.0,0.1445812288111077,0.0037075153638754213,2020.0,single
MIKE EDWARDS,DB,2019,3,99,934.0,2408.0,2,0.38787375415282394,0,FS,0.2642123395618421,1.4680379985130763,0,2019,TAM,0.0,,,0.0,,unknown
NAHSHON WRIGHT,DB,2021,3,99,219.0,1348.0,2,0.16246290801186944,1,CB,0.2661937642864212,0.6103182335896544,1,2021,DAL,39977.0,2021.0,0.3398678256223509,0.0018618469072540424,2021.0,single
NASIR ADDERLEY,DB,2019,2,60,897.0,1195.0,2,0.7506276150627615,0,S,0.2905953887168979,2.5830678813490517,0,2019,LAC,34882.0,2019.0,0.0,0.0,2019.0,single
NICK CROSS,DB,2022,3,96,414.0,2242.0,2,0.18465655664585193,1,SS,0.2516845475376784,0.7336825341579938,1,2022,IND,38120.0,2022.0,-0.12014431184206321,-0.0013048201758293328,2022.0,zero
NOAH IGBINOGHENE,DB,2020,1,30,365.0,1470.0,2,0.24829931972789115,1,CB,0.2661937642864212,0.9327766200440524,1,2020,MIA,37156.0,2020.0,0.3448404862917296,0.003387522270870958,2020.0,single
PATRICK SURTAIN II,DB,2021,1,9,2008.0,2152.0,2,0.9330855018587361,0,CB,0.2661937642864212,3.5052868513281457,0,2021,DEN,37001.0,2021.0,0.3364722366212129,0.018259945707829395,2021.0,single
PAULSON ADEBO,DB,2021,3,76,1662.0,1982.0,2,0.8385469223007064,0,CB,0.2661937642864212,3.1501373615891324,0,2021,NOR,0.0,,,0.0,,unknown
QUINCY WILLIAMS,DB,2019,3,98,582.0,1222.0,2,0.4762684124386252,0,LB,0.2560338817712687,1.8601772903795055,0,2019,JAX,36086.0,2019.0,-0.6118015411059929,-0.009867219889255886,2019.0,zero
RICHIE GRANT,DB,2021,2,40,1392.0,2221.0,2,0.6267447095902746,0,SS,0.2516845475376784,2.4901994012820667,0,2021,ATL,37721.0,2021.0,0.02985296314968113,0.0011016496037845266,2021.0,single
ROCK YA-SIN,DB,2019,2,34,1401.0,1803.0,2,0.7770382695507487,0,CB,0.2661937642864212,2.9190701428853347,0,2019,IND,35364.0,2019.0,-0.16034265007517937,-0.006352224091033997,2019.0,single
ROGER MCCREARY,DB,2022,2,35,2099.0,2175.0,2,0.9650574712643678,0,CB,0.2661937642864212,3.6253947339877497,0,2022,TEN,37075.0,2022.0,-0.16507975035944858,-0.009345985057437155,2022.0,single
SAUCE GARDNER,DB,2022,1,4,2110.0,2145.0,2,0.9836829836829837,0,CB,0.2661937642864212,3.6953644887960366,0,2022,NYJ,37578.0,2022.0,0.676886659688165,0.03800710128112268,2022.0,single
SEAN MURPHY-BUNTING,DB,2019,2,39,1826.0,2475.0,2,0.7377777777777778,0,CB,0.2661937642864212,2.7715817451829485,0,2019,TAM,0.0,,,0.0,,unknown
TANNER MUSE,DB,2020,3,100,0.0,429.0,1,0.0,1,LB,0.2560338817712687,0.0,1,2020,LVR,0.0,,,0.0,,unknown
TAYLOR RAPP,DB,2019,2,61,1188.0,1600.0,2,0.7425,0,SS,0.2516845475376784,2.9501215202289854,0,2019,LAR,0.0,,,0.0,,unknown
TERRELL BURGESS,DB,2020,3,104,190.0,1801.0,2,0.10549694614103276,1,FS,0.2642123395618421,0.39928849014389023,1,2020,LAR,0.0,,,0.0,,unknown
TRAYVON MULLEN,DB,2019,2,40,1607.0,2124.0,2,0.7565913370998116,0,CB,0.2661937642864212,2.8422579286482783,0,2019,OAK,11449.0,,,0.0,,unknown
TRENT MCDUFFIE,DB,2022,1,21,2126.0,2192.0,2,0.9698905109489051,0,CB,0.2661937642864212,3.6435508305345383,0,2022,KAN,0.0,,,0.0,,unknown
TREVON DIGGS,DB,2020,2,51,1837.0,1980.0,2,0.9277777777777778,0,CB,0.2661937642864212,3.485347525945425,0,2020,DAL,39792.0,2020.0,0.1786917887433759,0.00824931684563685,2020.0,single
TYSON CAMPBELL,DB,2021,2,33,1719.0,1834.0,2,0.9372955288985824,0,CB,0.2661937642864212,3.521102499944604,0,2021,JAX,38274.0,2021.0,0.3409265869705932,0.015312034357591308,2021.0,single
WILL HARRIS,DB,2019,3,81,980.0,2256.0,2,0.43439716312056736,0,SS,0.2516845475376784,1.7259588138025679,0,2019,DET,37495.0,2019.0,-0.22957444164450025,-0.006000345454370189,2019.0,single
XAVIER MCKINNEY,DB,2020,2,36,1343.0,1584.0,2,0.8478535353535354,0,FS,0.2642123395618421,3.208985381831816,0,2020,NYG,38695.0,2020.0,0.4595323293784404,0.015949138605898576,2020.0,single
